id,name,category,price,price_cp,availability,source,page,shop_types,tags,notes
alertness-potion,Alertness potion,potion,5 ss,50,Rare,core,108,apothecary|occult|temple,magic|consumable,
antitoxin-potion,Antitoxin potion,potion,5 ss,50,Rare,core,109,apothecary|occult|temple,magic|consumable,
fire-resistance-potion,Fire resistance potion,potion,5 ss,50,Rare,core,109,apothecary|occult|temple,magic|consumable,
fleeting-youth-potion,Fleeting youth potion,potion,1 gc,100,Exotic,core,109,apothecary|occult|temple,magic|consumable,
growth-potion,Growth potion,potion,5 ss,50,Exotic,core,109,apothecary|occult|temple,magic|consumable,
healing-potion,Healing potion,potion,2 ss,20,Uncommon,core,109,apothecary|occult|temple,magic|consumable,
invisibility-potion,Invisibility potion,potion,1 gc,100,Exotic,core,109,apothecary|occult|temple,magic|consumable,
panacea-potion,Panacea potion,potion,10 gc,1000,Exotic,core,109,apothecary|occult|temple,magic|consumable,
seeing-potion,Seeing potion,potion,5 ss,50,Exotic,core,109,apothecary|occult|temple,magic|consumable,
all-flower-water,All-flower water,alchemical_item,3 ss,30,Rare,dlc1,24,apothecary|occult|black_market,alchemy,
bottled-smoke,Bottled smoke,alchemical_item,5 ss,50,Rare,dlc1,24,apothecary|occult|black_market,alchemy,
dragon-fire,Dragon fire,alchemical_item,5 gc,500,Exotic,dlc1,24,apothecary|occult|black_market,alchemy,
reagent,Reagent,alchemical_item,5 cp,5,Rare,dlc1,24,apothecary|occult|black_market,alchemy,
royal-water,Royal water,alchemical_item,10 gc,1000,Exotic,dlc1,25,apothecary|occult|black_market,alchemy,
superior-glue,Superior glue,alchemical_item,1 ss,10,Uncommon,dlc1,25,apothecary|occult|black_market,alchemy,
water-of-life,Water of life,alchemical_item,1 ss,10,Uncommon,dlc1,25,apothecary|occult|black_market,alchemy,
azeen,Azeen,forbidden_item,1 gc,100,Exotic,dlc1,25,black_market|occult,forbidden,
deaths-heralds,Death's heralds,forbidden_item,5 gc,500,Exotic,dlc1,25,black_market|occult,forbidden,
distilled-maidens-tears,Distilled maidens' tears (1 dose),forbidden_item,1 gc,100,Exotic,dlc1,26,black_market|occult,forbidden,
frenzy,Frenzy (1 dose),forbidden_item,1 gc,100,Exotic,dlc1,26,black_market|occult,forbidden,
lotus-petals,Lotus petals (1 dose),forbidden_item,1 ss,10,Exotic,dlc1,26,black_market|occult,forbidden,
love-potion,Love potion,forbidden_item,1 gc,100,Rare,dlc1,26,black_market|occult,forbidden,
lust,Lust,forbidden_item,5 ss,50,Exotic,dlc1,26,black_market|occult,forbidden,
revenant-head,Revenant head,forbidden_item,100 gc,10000,Exotic,dlc1,26,black_market|occult,forbidden,
unicorn-horn,Unicorn horn,forbidden_item,100 gc,10000,Exotic,dlc1,27,black_market|occult,forbidden,
blunderbuss,Blunderbuss,engineering_marvel,5 gc,500,Rare,dlc1,27,engineer|black_market,engineering,
bomb,Bomb,engineering_marvel,5 gc,500,Rare,dlc1,27,engineer|black_market,engineering,
clock-pocket-watch,Clock or pocket watch,engineering_marvel,5 gc,500,Rare,dlc1,27,engineer|black_market,engineering,
construct-engineering,Construct,engineering_marvel,100 gc,10000,Exotic,dlc1,27,engineer|black_market,engineering,
flare,Flare,engineering_marvel,5 ss,50,Rare,dlc1,27,engineer|black_market,engineering,
smoke-bomb,Smoke bomb,engineering_marvel,1 gc,100,Rare,dlc1,27,engineer|black_market,engineering,
timer,Timer,engineering_marvel,1 gc,100,Rare,dlc1,28,engineer|black_market,engineering,
agility-potion,Agility potion,potion,5 ss,50,Rare,dlc1,28,apothecary|occult,magic|consumable,
courage-potion,Courage potion,potion,5 ss,50,Rare,dlc1,28,apothecary|occult,magic|consumable,
cunning-potion,Cunning potion,potion,5 ss,50,Rare,dlc1,28,apothecary|occult,magic|consumable,
