id,name,tradition,type,rank,source,page
core-arcane-armor,Arcane Armor,Arcana,Utility,0,core,117
core-augmented-attack,Augmented Attack,Battle,Attack,0,core,118
core-beast-within,Beast Within,Primal,Utility,0,core,136
core-bewitch,Bewitch,Enchantment,Attack,0,core,126
core-black-tongue,Black Tongue,Forbidden,Utility,0,core,128
core-break,Break,Destruction,Attack,0,core,123
core-burning-beam,Burning Beam,Celestial,Attack,0,core,119
core-celerity,Celerity,Battle,Utility,0,core,118
core-chaos-boon,Chaos Boon,Chaos,Utility,0,core,120
core-clamor,Clamor,Illusion,Utility,0,core,130
core-comprehension,Comprehension,Alteration,Utility,0,core,116
core-conjure-useful-item,Conjure Useful Item,Conjuration,Utility,0,core,121
core-control-flame,Control Flame,Fire,Utility,0,core,127
core-create-holy-symbol,Create Holy Symbol,Theurgy,Utility,0,core,144
core-delay,Delay,Time,Attack,0,core,145
core-denounce,Denounce,Theurgy,Attack,0,core,144
core-direct-conjuration,Direct Conjuration,Conjuration,Utility,0,core,121
core-disguise,Disguise,Illusion,Utility,0,core,131
core-dismiss,Dismiss,Teleportation,Utility,0,core,143
core-distort-appearance,Distort Appearance,Alteration,Utility,0,core,116
core-earth-spike,Earth Spike,Earth,Attack,0,core,125
core-eavesdrop,Eavesdrop,Divination,Utility,0,core,124
core-epiphany,Epiphany,Divination,Utility,0,core,124
core-erratic-bolt,Erratic Bolt,Chaos,Attack,0,core,120
core-fetch,Fetch,Teleportation,Utility,0,core,143
core-flame-missile,Flame Missile,Fire,Attack,0,core,128
core-flowing-form,Flowing Form,Transformation,Utility,0,core,146
core-fog,Fog,Storm,Utility,0,core,141
core-freeze,Freeze,Water,Attack,0,core,147
core-harm,Harm,Forbidden,Attack,0,core,128
core-hex,Hex,Curse,Attack,0,core,122
core-hide-from-animals,Hide From Animals,Primal,Utility,0,core,136
core-hide-from-undead,Hide From Undead,Necromancy,Utility,0,core,135
core-jury-rig,Jury-Rig,Technomancy,Utility,0,core,142
core-life-sense,Life Sense,Life,Utility,0,core,133
core-light,Light,Celestial,Utility,0,core,119
core-magic-acorns,Magic Acorns,Nature,Attack,0,core,134
core-magic-dart,Magic Dart,Arcana,Attack,0,core,117
core-magic-lock,Magic Lock,Protection,Utility,0,core,137
core-magic-wrench,Magic Wrench,Technomancy,Attack,0,core,142
core-mask,Mask,Transformation,Utility,0,core,146
core-minor-healing,Minor Healing,Life,Utility,0,core,133
core-nightfall-blade,Nightfall Blade,Shadow,Utility,0,core,139
core-oak-hide,Oak Hide,Nature,Utility,0,core,134
core-pox,Pox,Curse,Attack,0,core,122
