id,name,tradition,type,rank,source,page
dlc1-acidic-glob,Acidic Glob,Alchemy,Attack,0,dlc1,34
dlc1-claws-of-darkness,Claws Of Darkness,Demonology,Attack,0,dlc1,37
dlc1-demonic-guidance,Demonic Guidance,Demonology,Utility,0,dlc1,38
dlc1-forceful-push,Forceful Push,Telekinesis,Attack,0,dlc1,40
dlc1-identify-substance,Identify Substance,Alchemy,Utility,0,dlc1,34
dlc1-killing-touch,Killing Touch,Death,Attack,0,dlc1,36
dlc1-mind-over-matter,Mind Over Matter,Telekinesis,Utility,0,dlc1,40
dlc1-protection-from-death,Protection From Death,Death,Utility,0,dlc1,36
dlc1-sense-thoughts,Sense Thoughts,Telepathy,Utility,0,dlc1,41
dlc1-share-thoughts,Share Thoughts,Telepathy,Utility,0,dlc1,41
dlc1-spirit-bane,Spirit Bane,Spiritualism,Utility,0,dlc1,39
dlc1-spirit-of-vengeance,Spirit Of Vengeance,Spiritualism,Attack,0,dlc1,39
dlc1-bear-spirit,Bear Spirit,Spiritualism,Utility,1,dlc1,39
dlc1-brew-potion,Brew Potion,Alchemy,Utility,1,dlc1,34
dlc1-brew-remedy,Brew Remedy,Alchemy,Utility,1,dlc1,34
dlc1-brew-superior-glue,Brew Superior Glue,Alchemy,Utility,1,dlc1,34
dlc1-compel-demon,Compel Demon,Demonology,Attack,1,dlc1,38
dlc1-control-spirit,Control Spirit,Spiritualism,Utility,1,dlc1,39
dlc1-crush,Crush,Telekinesis,Attack,1,dlc1,40
dlc1-dancing-weapon,Dancing Weapon,Telekinesis,Utility,1,dlc1,40
dlc1-favor-of-the-demon-lord,Favor Of The Demon Lord,Demonology,Utility,1,dlc1,38
dlc1-injure,Injure,Death,Attack,1,dlc1,36
dlc1-life-drain,Life Drain,Death,Attack,1,dlc1,36
dlc1-mental-static,Mental Static,Telepathy,Attack,1,dlc1,41
dlc1-message,Message,Telepathy,Utility,1,dlc1,41
dlc1-mind-stab,Mind Stab,Telepathy,Attack,1,dlc1,41
dlc1-offering-of-blood,Offering Of Blood,Demonology,Utility,1,dlc1,38
dlc1-stasis,Stasis,Death,Utility,1,dlc1,36
dlc1-telekinetic-shield,Telekinetic Shield,Telekinesis,Utility,1,dlc1,40
dlc1-wolf-spirit,Wolf Spirit,Spiritualism,Utility,1,dlc1,39
dlc1-acid-darts,Acid Darts,Alchemy,Attack,2,dlc1,35
dlc1-brew-liquid-smoke,Brew Liquid Smoke,Alchemy,Utility,2,dlc1,35
dlc1-call-lesser-demon,Call Lesser Demon,Demonology,Utility,2,dlc1,38
dlc1-decay,Decay,Death,Attack,2,dlc1,36
dlc1-eagle-spirit,Eagle Spirit,Spiritualism,Utility,2,dlc1,39
dlc1-hold,Hold,Telekinesis,Attack,2,dlc1,40
dlc1-levitate,Levitate,Telekinesis,Utility,2,dlc1,40
dlc1-poisonous-breath,Poisonous Breath,Death,Attack,2,dlc1,36
dlc1-read-minds,Read Minds,Telepathy,Attack,2,dlc1,41
dlc1-repulsion,Repulsion,Telepathy,Attack,2,dlc1,41
dlc1-spirit-of-torment,Spirit Of Torment,Spiritualism,Attack,2,dlc1,39
dlc1-whispers-from-the-void,Whispers From The Void,Demonology,Utility,2,dlc1,38
dlc1-brew-alchemist-s-poison,Brew Alchemist’s Poison,Alchemy,Utility,3,dlc1,35
dlc1-brew-wondrous-concoction,Brew Wondrous Concoction,Alchemy,Utility,3,dlc1,35
